task_code,status_code,wbs_id,task_name,start_date,end_date,user_field_833,delete_record_flag,,
Activity ID,Activity Status,WBS Code,Activity Name,(*)Start,(*)Finish,BIM 4D Code,Delete This Row,,
MI10300,Not Started,LINXS-191113-2-Des.M.I,LAWA APM TPSS #3 Utility Power Service,,1/15/2021 17:00,,,,
MI10400,Not Started,LINXS-191113-2-Des.M.I,"ConRAC Party Access (NLT Date  Aug 1, 2021 Exh10B-Att2)",,8/1/2021 08:00,,,,
MI30100,Not Started,LINXS-191113-2-Des.M.I,LAWA APM TPSS #2 M&SF Utility Power Service,,6/12/2020 17:00,,,,
MI10200,Not Started,LINXS-191113-2-Des.M.I,LAWA APM TPSS #1 Utility Power Service,,10/20/2020 17:00,,,,
MI00500,Not Started,LINXS-191113-2-Des.M.I,"Interface at Terminal Vertical Cores (NLT Date Dec 31, 2021 Exh10D-Att 2)",1/4/2022 08:00,,,,,
MI00600,In Progress,LINXS-191113-2-Des.M.I,SHPO and FAA Approval of ATC #2,5/6/2018 08:00,11/4/2019 17:00,,,,
MI00510,Completed,LINXS-191113-2-Des.M.I,Preliminary Design Audit - APM Systems (PDA 2),12/10/2018 08:00,,,,,
MI00520,Completed,LINXS-191113-2-Des.M.I,Intermediate Design Audit,5/16/2019 00:00,,,,,
MI00530,Not Started,LINXS-191113-2-Des.M.I,Final Design Audit 1,11/12/2019 08:00,,,,,
MI00505,Completed,LINXS-191113-2-Des.M.I,Preliminary Design Audit - Vehicles (PDA 1),11/5/2018 08:00,,,,,
ME00140,Completed,LINXS-191113-2-Des.M.E,Enabling Project - **B3  New Temporary AOA Fence Line at 6150 Century Complex,,4/30/2018 17:00,,,,
ME00130,Completed,LINXS-191113-2-Des.M.E,Enabling Project - *R27  85% Roadway Design of New 96th Street,,4/26/2018 17:00,,,,
ME00120,Completed,LINXS-191113-2-Des.M.E,Enabling Project - *R28  85% Roadway Design of New ?D? Street,,4/26/2018 17:00,,,,
ME00200,Not Started,LINXS-191113-2-Des.M.E,Enabling Project - U24  UG Power Ductbanks from RS-N to APM POH Locations,,11/3/2019 08:00,,,,
ME00210,Not Started,LINXS-191113-2-Des.M.E,Enabling Project - R13  Arbor Vitae Street Widening,,12/1/2022 17:00,,,,
ME00150,Completed,LINXS-191113-2-Des.M.E,Enabling Project - R19  LAX City Bus Center Relocation,,7/1/2018 17:00,,,,
ME00170,Completed,LINXS-191113-2-Des.M.E,Enabling Project - R18  Parking Garage P4 Supplemental Ramp,,8/30/2018 00:00,,,,
ME00110,Completed,LINXS-191113-2-Des.M.E,Enabling Project - R23  85% Roadway Design of New ?A? Street ? North,,4/27/2018 17:00,,,,
ME00160,Completed,LINXS-191113-2-Des.M.E,Enabling Project - U5  Relocate 24? Reclaimed Waterline,,4/19/2019 00:00,,,,
ME00100,Completed,LINXS-191113-2-Des.M.E,Enabling Project - U1  Replace Domestic Water in the CTA,,4/1/2018 17:00,,,,
ME00220,Completed,LINXS-191113-2-Des.M.E,Enabling Project- D4 Demo in Manchester Square,,6/6/2019 00:00,,,,
ME00180,Not Started,LINXS-191113-2-Des.M.E,Enabling Project - R20 Aviation Blvd & New 98th St Roadway Improvements,,6/1/2020 17:00,,,,
MM00205,Not Started,LINXS-191113-2-Des.M.M,Complete Design,,6/22/2020 17:00,,,,
MM00170,Completed,LINXS-191113-2-Des.M.M,Financial Close Date,,6/8/2018 08:00,,,,
MM00110,Completed,LINXS-191113-2-Des.M.M,Execution of Early Works,,3/19/2018 17:00,,,,
MM00200,Completed,LINXS-191113-2-Des.M.M,Start Construction,1/17/2019 08:00,,,,,
MM00220,Not Started,LINXS-191113-2-Des.M.M,Contract Adverse Weather Days,6/23/2023 08:00,9/12/2023 17:00,,,,
MM00240,Not Started,LINXS-191113-2-Des.M.M,Final Completion,,6/22/2023 17:00,,,,
